iter	LogLikelihoodOfPrediction	Logloss
697	0.8780508479	0.2643714457
698	0.8780508629	0.264371391
699	0.8780932335	0.2643663345
700	0.8780932461	0.2643663345
701	0.8780932577	0.2643663071
702	0.8781050004	0.2643648859
703	0.8781066328	0.2643648312
704	0.8781067428	0.2643648312
705	0.8781076539	0.2643645852
706	0.8781111378	0.2643640932
707	0.8781510721	0.2643592553
708	0.8781513464	0.2643592007
709	0.8781554093	0.264358818
710	0.8781580537	0.264358326
711	0.8781865979	0.2643548821
712	0.878186748	0.2643548548
713	0.8781868133	0.2643548821
714	0.8781868659	0.2643549095
715	0.8781912254	0.2643543081
716	0.8781991431	0.2643532148
717	0.8782031745	0.2643529962
718	0.87820323	0.2643529415
719	0.8782156899	0.2643513562
720	0.878219147	0.2643508369
721	0.8782223621	0.2643503722
722	0.8782223848	0.2643504269
723	0.8782225129	0.2643503722
724	0.8782246894	0.2643502903
725	0.8782308335	0.2643493883
726	0.8782311686	0.2643493883
727	0.8782326974	0.2643493063
728	0.8782480539	0.264347393
729	0.87825419	0.264346655
730	0.8782599248	0.264345999
731	0.8782655659	0.2643453704
732	0.8782666584	0.2643450424
733	0.8783618616	0.264333508
734	0.8784037593	0.2643283695
735	0.8784037779	0.2643283695
736	0.8784107888	0.2643274675
737	0.8784211843	0.2643262649
738	0.8784562985	0.264321919
739	0.8784758745	0.2643194318
740	0.8784761775	0.2643194044
741	0.8784826966	0.2643186391
742	0.8785341221	0.2643123526
743	0.8785343113	0.2643123526
744	0.8785458329	0.264310822
745	0.8785460938	0.2643107673
746	0.8786345118	0.2643000803
747	0.8786387095	0.264299479
748	0.8786449122	0.264298741
749	0.8786587088	0.2642971284
750	0.8786613881	0.2642966911
751	0.8786615012	0.2642966637
752	0.878671571	0.2642954338
753	0.8786894828	0.2642931925
754	0.8787016595	0.2642919078
755	0.8787025603	0.2642917985
756	0.8787121485	0.2642904866
757	0.878712159	0.2642905139
758	0.8787131564	0.2642903499
759	0.8787769539	0.2642825601
760	0.8787857817	0.2642815215
761	0.8788146056	0.2642779682
762	0.8788155181	0.2642777496
763	0.878820979	0.2642772029
764	0.8788437087	0.2642743057
765	0.878858827	0.2642724197
766	0.8788589323	0.2642723924
767	0.8788687941	0.2642713537
768	0.8788689991	0.2642713264
769	0.8788753288	0.2642705884
770	0.8788761658	0.2642706158
771	0.8788771753	0.2642704791
772	0.8788830159	0.2642696318
773	0.8789147352	0.2642657506
774	0.87892081	0.2642649853
775	0.8789572144	0.2642603934
776	0.878957804	0.2642604207
777	0.8789579174	0.2642604207
778	0.8789638379	0.2642597101
779	0.8789676526	0.2642590268
780	0.878967746	0.2642590268
781	0.8789771006	0.2642579061
782	0.8789857867	0.2642568675
783	0.8790004602	0.2642551455
784	0.8790042092	0.2642546535
785	0.8790181962	0.2642529862
786	0.8790186486	0.2642530136
787	0.8790237516	0.2642523029
788	0.8790258791	0.2642521116
789	0.8790622007	0.2642476837
790	0.8790630929	0.2642475197
791	0.8790632514	0.2642474924
792	0.8790633402	0.2642474924
793	0.8790686186	0.2642468911
794	0.8790775609	0.2642457158
795	0.8790806834	0.2642453878
796	0.8790886884	0.2642444585
797	0.8790966922	0.2642433652
798	0.8790971787	0.2642433105
799	0.8791045067	0.2642424905
800	0.8791091048	0.2642417526
801	0.8791095898	0.2642417799
802	0.8791103977	0.2642418072
803	0.8791138055	0.2642412332
804	0.8791139783	0.2642412059
805	0.8791412824	0.264237844
806	0.8791494263	0.26423686
807	0.8791520684	0.2642365594
808	0.8792019361	0.2642305189
809	0.8792024167	0.2642304642
810	0.8792098833	0.2642296169
811	0.8792182224	0.2642284416
812	0.8792186593	0.2642283869
813	0.8792201161	0.2642283049
814	0.8792276272	0.2642274303
815	0.8792277801	0.2642274029
816	0.8792463406	0.264225025
817	0.8792481067	0.2642249157
818	0.8792961989	0.2642189025
819	0.8792996179	0.2642185745
820	0.8793065715	0.2642176452
821	0.8793814521	0.2642085708
822	0.8793815218	0.2642085981
823	0.879381663	0.2642085435
824	0.8794067424	0.2642052362
825	0.8794320007	0.2642022296
826	0.8794328816	0.2642021476
827	0.8794381727	0.2642016557
828	0.8794407662	0.2642012183
829	0.8794468851	0.2642005897
